trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
1,short,2037.05,2043.05,2025.44,2043.05,-6.00,SL_HIT,37,1.9
2,long,2024.01,2018.01,2034.68,2034.68,10.67,TP_HIT,10,1.8
3,long,2032.19,2026.19,2050.22,2026.19,-6.00,SL_HIT,190,3.0
4,long,2030.69,2024.69,2039.83,2024.69,-6.00,SL_HIT,86,1.5
5,long,2036.84,2030.84,2048.15,2030.84,-6.00,SL_HIT,1,1.9
6,long,2044.84,2038.84,2054.80,2054.80,9.96,TP_HIT,30,1.7
7,long,2056.32,2050.32,2066.98,2050.32,-6.00,SL_HIT,24,1.8
8,long,2018.29,2018.29,2037.44,2037.44,19.15,TP_HIT,214,3.2
9,long,2034.27,2028.27,2047.09,2028.27,-6.00,SL_HIT,5,2.1
10,long,2029.84,2023.84,2038.93,2023.84,-6.00,SL_HIT,84,1.5
11,long,2034.36,2028.36,2057.37,2028.36,-6.00,SL_HIT,10,3.8
12,long,2029.94,2029.94,2048.49,2029.94,0.00,SL_HIT,250,3.1
13,long,2039.71,2039.71,2059.59,2039.71,0.00,SL_HIT,135,3.3
14,short,2037.75,2043.75,2018.70,2043.75,-6.00,SL_HIT,44,3.2
15,long,2050.08,2044.08,2059.49,2059.49,9.41,TP_HIT,5,1.6
16,short,2024.19,2030.19,2003.07,2024.37,-0.18,MAX_HOLD,288,3.5
17,short,2025.24,2031.24,2005.83,2031.24,-6.00,SL_HIT,17,3.2
18,long,2038.65,2032.65,2048.57,2032.65,-6.00,SL_HIT,144,1.7
19,long,2036.50,2030.50,2045.77,2030.50,-6.00,SL_HIT,11,1.5
20,short,2024.96,2030.96,2015.60,2030.96,-6.00,SL_HIT,18,1.6
21,long,2018.53,2012.53,2041.48,2012.53,-6.00,SL_HIT,225,3.8
22,long,1994.47,1994.47,2012.89,2004.24,9.78,MAX_HOLD,288,3.1
23,long,2024.21,2018.21,2033.95,2027.60,3.38,MAX_HOLD,288,1.6
24,long,2033.26,2027.26,2043.45,2027.26,-6.00,SL_HIT,198,1.7
