trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
1,long,904.89,904.89,935.67,935.67,30.78,TP_HIT,7,5.1
2,long,954.19,948.19,981.25,948.19,-6.00,SL_HIT,3,4.5
3,long,954.04,954.04,980.68,954.04,0.00,SL_HIT,230,4.4
4,short,950.31,956.31,937.56,956.31,-6.00,SL_HIT,18,2.1
5,long,931.13,925.13,950.27,925.13,-6.00,SL_HIT,152,3.2
6,long,928.74,928.74,944.52,944.52,15.78,TP_HIT,261,2.6
7,long,916.33,916.33,935.08,916.33,0.00,SL_HIT,27,3.1
8,long,923.06,917.06,941.50,917.06,-6.00,SL_HIT,11,3.1
9,long,926.88,920.88,961.77,920.88,-6.00,SL_HIT,37,5.8
10,long,926.86,920.86,945.30,920.86,-6.00,SL_HIT,167,3.1
11,short,915.62,921.62,904.74,904.74,10.88,TP_HIT,46,1.8
12,short,896.96,902.96,875.36,902.96,-6.00,SL_HIT,8,3.6
13,short,907.87,913.87,898.82,898.82,9.04,TP_HIT,217,1.5
14,long,900.66,894.66,914.42,894.66,-6.00,SL_HIT,57,2.3
15,short,877.46,883.46,868.46,883.46,-6.00,SL_HIT,16,1.5
16,long,897.60,891.60,907.20,891.60,-6.00,SL_HIT,265,1.6
17,short,884.13,890.13,874.93,890.13,-6.00,SL_HIT,154,1.5
18,long,892.66,892.66,914.32,905.50,12.84,MAX_HOLD,288,3.6
19,long,911.78,905.78,921.33,905.78,-6.00,SL_HIT,180,1.6
20,short,907.91,907.91,885.86,885.86,22.05,TP_HIT,258,3.7
21,long,896.41,890.41,915.07,899.88,3.47,MAX_HOLD,288,3.1
22,long,888.62,882.62,898.32,882.62,-6.00,SL_HIT,154,1.6
23,long,898.36,898.36,920.71,910.43,12.07,MAX_HOLD,288,3.7
24,long,920.17,914.17,952.42,914.17,-6.00,SL_HIT,34,5.4
25,long,916.89,910.89,926.04,926.04,9.15,TP_HIT,174,1.5
26,long,931.65,925.65,945.00,925.65,-6.00,SL_HIT,216,2.2
27,long,937.55,931.55,947.90,937.95,0.40,MAX_HOLD,288,1.7
28,long,951.04,945.04,960.22,952.23,1.19,MAX_HOLD,288,1.5
29,long,957.57,951.57,978.93,951.57,-6.00,SL_HIT,18,3.6
30,long,951.63,951.63,969.93,969.93,18.30,TP_HIT,249,3.1
31,long,979.18,973.18,1004.83,977.68,-1.50,MAX_HOLD,288,4.3
32,long,976.68,970.68,996.03,970.68,-6.00,SL_HIT,248,3.2
33,long,957.34,951.34,966.87,961.63,4.29,MAX_HOLD,288,1.6
34,long,934.51,928.51,945.43,928.51,-6.00,SL_HIT,67,1.8
35,long,943.99,937.99,956.36,937.99,-6.00,SL_HIT,124,2.1
36,long,933.19,927.19,944.89,939.08,5.89,MAX_HOLD,288,1.9
37,long,950.60,944.60,959.71,947.53,-3.07,MAX_HOLD,288,1.5
38,long,959.11,953.11,968.26,953.11,-6.00,SL_HIT,217,1.5
39,long,964.77,958.77,983.82,958.77,-6.00,SL_HIT,254,3.2
40,long,955.43,949.43,983.03,949.43,-6.00,SL_HIT,273,4.6
41,short,942.90,948.90,920.10,948.90,-6.00,SL_HIT,216,3.8
42,short,942.03,948.03,931.93,948.03,-6.00,SL_HIT,50,1.7
43,long,979.42,973.42,988.50,988.50,9.08,TP_HIT,229,1.5
44,long,1002.72,996.72,1012.02,996.72,-6.00,SL_HIT,109,1.5
45,long,1000.25,994.25,1018.25,994.25,-6.00,SL_HIT,128,3.0
46,long,994.46,994.46,1015.52,1004.79,10.33,MAX_HOLD,288,3.5
47,long,1001.17,995.17,1022.98,995.17,-6.00,SL_HIT,199,3.6
48,long,1002.35,1002.35,1020.59,1017.60,15.25,MAX_HOLD,288,3.0
49,long,1022.76,1016.76,1041.21,1016.76,-6.00,SL_HIT,52,3.1
50,long,1012.54,1006.54,1032.73,1015.23,2.69,MAX_HOLD,288,3.4
51,long,1024.04,1018.04,1034.39,1034.39,10.35,TP_HIT,35,1.7
52,long,1041.01,1035.01,1052.60,1043.08,2.07,MAX_HOLD,288,1.9
53,long,1045.44,1039.44,1055.01,1055.01,9.57,TP_HIT,102,1.6
54,short,1061.53,1061.53,1042.42,1050.70,10.83,MAX_HOLD,288,3.2
55,long,1053.32,1047.32,1062.57,1062.57,9.26,TP_HIT,64,1.5
56,long,1064.53,1058.53,1087.47,1058.53,-6.00,SL_HIT,17,3.8
57,long,1057.75,1051.75,1067.62,1051.75,-6.00,SL_HIT,14,1.6
58,long,1037.15,1031.15,1057.76,1031.15,-6.00,SL_HIT,29,3.4
59,long,1045.80,1039.80,1054.87,1039.80,-6.00,SL_HIT,250,1.5
60,long,1050.90,1050.90,1063.69,1063.69,12.80,TP_HIT,176,2.1
61,long,1063.32,1063.32,1082.90,1082.90,19.59,TP_HIT,25,3.3
62,long,1093.02,1087.02,1103.59,1087.02,-6.00,SL_HIT,89,1.8
63,long,1091.32,1085.32,1101.26,1085.32,-6.00,SL_HIT,129,1.7
64,long,1091.05,1085.05,1112.20,1093.98,2.93,MAX_HOLD,288,3.5
65,long,1098.12,1092.12,1109.29,1092.12,-6.00,SL_HIT,9,1.9
66,long,1100.36,1094.36,1119.11,1101.70,1.35,MAX_HOLD,288,3.1
67,long,1116.13,1110.13,1135.72,1115.20,-0.93,MAX_HOLD,288,3.3
68,long,1122.78,1122.78,1143.84,1136.13,13.35,MAX_HOLD,288,3.5
69,long,1145.03,1139.03,1167.08,1139.03,-6.00,SL_HIT,275,3.7
70,long,1146.52,1140.52,1165.72,1140.52,-6.00,SL_HIT,60,3.2
71,long,1145.69,1139.69,1156.72,1156.72,11.02,TP_HIT,42,1.8
72,long,1170.58,1164.58,1191.13,1164.58,-6.00,SL_HIT,43,3.4
73,long,1175.40,1175.40,1193.70,1193.70,18.30,TP_HIT,268,3.0
74,long,1155.00,1155.00,1178.55,1178.55,23.55,TP_HIT,80,3.9
75,long,1184.64,1184.64,1210.80,1210.80,26.16,TP_HIT,245,4.4
76,long,1214.62,1208.62,1225.27,1208.62,-6.00,SL_HIT,8,1.8
